x_cord,z_cord
0,0
64.07090314,36.24242188
128.4557231,71.92412539
193.1503789,107.0410184
258.1507414,141.5887518
323.4527821,175.5628063
389.0525011,208.9584582
454.9459276,241.7707847
521.1290896,273.9946534
587.5980879,305.6247629
654.3490114,336.6556041
721.3778195,367.0814128
788.6805949,396.896291
856.2532916,426.0940955
924.091969,454.6685452
992.1925441,482.6131173
1060.550884,509.9210934
1129.162794,536.5855592
1198.024106,562.5994411
1267.130283,587.9553639
1336.476985,612.6458682
1406.05967,636.6632653
1475.873684,659.9996775
1545.91425,682.6470401
1616.176458,704.5971038
1686.655253,725.8414391
1757.345426,746.3714389
1828.241611,766.1783261
1899.338247,785.2531506
1970.629599,803.5868035
2042.10973,821.1700196
2113.772496,837.993384
2185.61153,854.0473405
2257.620237,869.3221999
2329.791777,883.8081488
2402.119057,897.4952604
2474.594687,910.3734992
2547.211118,922.4327593
2619.960385,933.6628338
2692.834275,944.0534612
2765.824268,953.5943317
2838.921531,962.2751037
2912.116907,970.0854211
2985.400905,977.0149318
3058.763694,983.0533082
3132.195097,988.1902677
3205.684526,992.4155924
3279.221203,995.7191648
3352.793817,998.0909732
3426.390747,999.5211509
3500,1000
3573.609257,999.5211508
3647.206186,998.0909731
3720.7788,995.7191647
3794.31545,992.4155937
3867.804914,988.190267
3941.236304,983.0533084
4014.599086,977.0149327
4087.88308,970.0854225
4161.078521,962.2750979
4234.175778,953.594326
4307.165695,944.0534654
4380.039528,933.6628466
4452.788757,922.4327793
4525.405163,910.3735251
4597.880824,897.4952824
4670.208103,883.8081723
4742.379743,869.3222041
4814.388384,854.0473592
4886.227374,837.9934137
4957.890111,821.1700577
5029.370225,803.5868479
5100.661565,785.2531998
5171.758194,766.1783793
5242.654372,746.3714964
5313.344744,725.8414399
5383.823539,704.5971048
5454.085746,682.6470412
5524.126312,659.9996788
5593.940326,636.6632666
5663.523012,612.6458693
5732.869714,587.9553648
5801.975894,562.5994413
5870.837111,536.5855955
5939.449021,509.9211309
6007.807383,482.6131468
6075.907991,454.6685618
6143.746719,426.094091
6211.319496,396.8962513
6278.622295,367.0813616
6345.651125,336.6555415
6412.40202,305.6247121
6478.871032,273.9945948
6545.05422,241.770712
6610.947493,208.9584613
6676.547212,175.5628093
6741.849254,141.5887545
6806.849673,107.0409905
6871.544363,71.92407822
6935.929233,36.24234579
7000,0
