Indexes,Material=Steel,Material=Aluminum,Material=Titanium,SSB_Include,CSB_Include,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,valid
1,1,0,0,0,0,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.038450000000000005,0.023350000000000003,0.013000000000000001,0.034,0.015,0.05,0.0287,0.04,73,0.1356,0.5887,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.002366474,0.004355205,0.000752812,0.002779593,0.000742966,0.000873305,0.007933572,0.6640206902489724,0
2,0,1,0,0,0,0.35,-0.0145,0.5656,0.045,71.5,0.04,0.029200000000000007,0.045,0.0365,0.022000000000000002,0.0185,0.0318,0.015,0.0231,0.0391,0.0233,71.5,0.08,0.265,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.008670843,0.001011234,0.005782184,0.000721281,0.003872829,0.000912816,0.008889163,0.5724919500516428,0
3,1,0,0,0,0,0.415,0.004,0.5656,0.045,74,0.0381,0.0286,0.0364,0.034,0.01875,0.0115,0.0286,0.013999999999999999,0.0359,0.0459,0.0365,72,0.1988,0.562,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.003062441,0.001377879,0.000990012,0.000619947,0.00725899,0.002174778,0.00287996,0.6471036536882137,1
4,1,0,0,0,0,0.375,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.0339,0.019,0.0291,70.5,0.0918,0.46,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.000527807,0.000645865,0.001218565,0.000767545,0.003044575,0.004532311,0.005529887,0.5739040929925656,0
5,1,0,0,0,0,0.43178999999999995,0.024,0.5656,0.040999999999999995,72.5,0.04,0.029200000000000007,0.05,0.0365,0.022000000000000002,0.016,0.0318,0.015,0.0543,0.0364,0.0202,72.1,0.0831,0.3,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.00051334,0.006816472,0.003666112,0.004883356,0.000683782,0.003819384,0.000528579,0.6361792967995458,0
6,0,1,0,0,0,0.3119,0.017,0.5656,0.045,71.6,0.04,0.029200000000000007,0.045,0.0365,0.027000000000000003,0.0185,0.0318,0.125,0.025,0.0501,0.0201,80.6,0.09,0.315,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.004908421,0.002980679,0.009247261,0.001386979,0.001341092,0.001481347,0.003668795,0.6015093968922621,1
7,0,1,0,0,0,0.425,0.029863024927926005,0.5656,0.065,72.03483637778452,0.0375,0.030200000000000005,0.04,0.04345,0.025,0.0185,0.035,0.015,0.05,0.05,0.0285,69.53483637778452,0.165,0.535,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.006466808,0.001848843,0.008563702,0.009349269,0.005331317,0.000720754,0.001387994,0.6882916076047391,0
8,0,1,0,0,0,0.425,0.043,0.5656,0.077,73,0.035,0.042,0.045,0.04495,0.023350000000000003,0.0185,0.035,0.015,0.07,0.062,0.027000000000000003,70,0.1236,0.52,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.000756953,0.00555827,0.005257744,0.005188981,0.000969235,0.000686287,0.00147702,0.7038693533105786,0
9,1,0,0,0,0,0.45,0.0735,0.5656,0.04,74,0.0381,0.0286,0.0318,0.034,0.01735,0.0105,0.0286,0.015,0.0391,0.0344,0.0281,73,0.15,0.5244,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.002166839,0.002307508,0.00355781,0.001724745,0.000765862,0.001536521,0.002710334,0.6607292642474715,0
10,0,0,1,0,0,0.44299999999999995,0.040999999999999995,0.5656,0.055,73,0.04,0.0327,0.04,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0681,0.0742,0.0259,72,0.105,0.457,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.009905371,0.000766984,0.00053207,0.000519002,0.001279764,0.005756866,0.002903223,0.6739015050364934,0
11,1,0,0,0,0,0.48,0.105,0.5656,0.055,75,0.033,0.029200000000000007,0.033,0.034,0.0222,0.0222,0.0275,0.013999999999999999,0.0437,0.0434,0.033600000000000005,75,0.1038,0.562,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.001223029,0.000864725,0.009112981,0.001707175,0.000585999,0.005196576,0.001426067,0.7134257454403128,1
12,0,0,1,0,0,0.444,0.0575,0.5656,0.055,73,0.04,0.03015,0.05,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.05,0.0709,0.0242,71,0.1054,0.457,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.002649575,0.004646429,0.002000804,0.002000804,0.00252841,0.001779849,0.001639865,0.6737233493814868,0
